iter	Passed	Remaining
0	0	58
1	1	53
2	1	55
3	2	55
4	2	55
5	3	55
6	4	54
7	4	54
8	5	55
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	49
15	9	48
16	9	47
17	10	46
18	10	46
19	11	45
20	11	44
21	12	44
22	13	43
23	13	42
24	14	42
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	34
36	20	34
37	20	33
38	21	32
39	21	32
40	21	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	20
59	30	20
60	31	20
61	31	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	44	7
85	44	7
86	45	6
87	45	6
88	46	5
89	46	5
90	47	4
91	48	4
92	48	3
93	49	3
94	49	2
95	49	2
96	50	1
97	51	1
98	52	0
99	52	0
